timestamp,date,open,high,low,close,volume,open_interest
1768539600,2026-01-16,47,47,47,47,36,36
1768626000,2026-01-17,53,55,48,55,350,200
1768712400,2026-01-18,,,,,0,200
1768798800,2026-01-19,56,56,56,56,5,205
1768885200,2026-01-20,57,58,57,58,16,221
1768971600,2026-01-21,59,59,59,59,3,224
1769058000,2026-01-22,64,67,64,67,216,440
1769144400,2026-01-23,67,68,67,68,101,541
1769230800,2026-01-24,70,77,68,77,593,1068
1769317200,2026-01-25,70,71,70,70,130,1051
1769403600,2026-01-26,,,,,0,1051
1769490000,2026-01-27,,,,,0,1051
1769576400,2026-01-28,70,70,69,69,150,1076
1769662800,2026-01-29,73,73,73,73,40,1116
1769749200,2026-01-30,67,67,67,67,16,1116
1769835600,2026-01-31,,,,,0,1116
1769922000,2026-02-01,,,,,0,1116
1770008400,2026-02-02,64,71,64,71,129,1096
1770094800,2026-02-03,71,71,64,64,85,1019
1770181200,2026-02-04,71,71,71,71,27,1046
1770267600,2026-02-05,64,64,64,64,123,923
